
  ┌                       ┐
  │    1.9486960447641863 │
  │    0.9025202940335932 │
  │    0.8574039191604412 │
  │    0.8145428811424836 │
  │    0.7738244372262367 │
  │    0.7351414805916845 │
  │     0.698392258615803 │
  │    0.6634801052198982 │
  │    0.6303131865967198 │
  │    0.5988042596485019 │
  │    0.5688704425005227 │
  │    0.5404329964865341 │
  │     0.513417119032592 │
  │    0.4877517468944826 │
  │   0.46336936923117533 │
  │    0.4402058500226072 │
  │   0.41820025936468097 │
  │    0.3972947131977113 │
  │   0.37743422104673685 │
  │   0.35856654137319055 │
  │   0.34064204415744115 │
  │   0.32361358035074045 │
  │     0.307436357853178 │
  │   0.29206782369141415 │
  │    0.2774675520862673 │
  │   0.26359713811572677 │
  │   0.25042009669367926 │
  │   0.23790176659861942 │
  │   0.22600921929990025 │
  │    0.2147111723416973 │
  │   0.20397790705684887 │
  │   0.19378119039412614 │
  │   0.18409420065330417 │
  │   0.17489145693268643 │
  │   0.16614875210349944 │
  │    0.1578430891348517 │
  │    0.1499526206017649 │
  │   0.27761395778505316 │
  │    0.9947449115525919 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │    0.1346240843531493 │
  │    0.9881890039186008 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
  │      0.13373683873663 │
  │    0.9790348781195478 │
  │                     0 │
  │                     0 │
  │                     0 │
  │                     0 │
